Cidade,Faixa_Etaria,Genero,KPI_Volume_Demanda,KPI_Taxa_Conversao,KPI_Score_Propensao
AGUAS DE SAO PEDRO,22-25 ANOS,FEMININO,17.0,0.2931,0.3603
AGUAS DE SAO PEDRO,22-25 ANOS,MASCULINO,15.0,0.2542,0.3343
AGUAS DE SAO PEDRO,26-30 ANOS,FEMININO,12.0,0.2069,0.2175
AGUAS DE SAO PEDRO,26-30 ANOS,MASCULINO,17.0,0.2537,0.2518
AGUAS DE SAO PEDRO,31-40 ANOS,FEMININO,12.0,0.0764,0.0988
AGUAS DE SAO PEDRO,31-40 ANOS,MASCULINO,13.0,0.0897,0.1013
AGUAS DE SAO PEDRO,41-50 ANOS,FEMININO,15.0,0.0682,0.0662
AGUAS DE SAO PEDRO,41-50 ANOS,MASCULINO,26.0,0.1503,0.1254
AGUAS DE SAO PEDRO,51-60 ANOS,FEMININO,4.0,0.0231,0.0364
AGUAS DE SAO PEDRO,51-60 ANOS,MASCULINO,10.0,0.0699,0.0676
AGUAS DE SAO PEDRO,61-70 ANOS,FEMININO,3.0,0.0149,0.0216
AGUAS DE SAO PEDRO,61-70 ANOS,MASCULINO,5.0,0.0338,0.0277
AGUAS DE SAO PEDRO,71-80 ANOS,FEMININO,0.0,0.0,0.0064
AGUAS DE SAO PEDRO,71-80 ANOS,MASCULINO,4.0,0.0268,0.0226
AGUAS DE SAO PEDRO,81-90 ANOS,FEMININO,0.0,0.0,0.0004
AGUAS DE SAO PEDRO,81-90 ANOS,MASCULINO,0.0,0.0,0.0043
AGUAS DE SAO PEDRO,91-100 ANOS,FEMININO,0.0,0.0,0.0
AGUAS DE SAO PEDRO,91-100 ANOS,MASCULINO,0.0,0.0,0.0
AGUDOS,101-120 ANOS,MASCULINO,0.0,0.0,0.0
AGUDOS,18-21 ANOS,FEMININO,223.0,0.8199,0.7682
AGUDOS,18-21 ANOS,MASCULINO,328.0,0.87,0.7963
AGUDOS,22-25 ANOS,FEMININO,224.0,0.4619,0.4487
AGUDOS,22-25 ANOS,MASCULINO,326.0,0.5062,0.4795
AGUDOS,26-30 ANOS,FEMININO,151.0,0.1808,0.198
AGUDOS,26-30 ANOS,MASCULINO,253.0,0.2582,0.2464
AGUDOS,31-40 ANOS,FEMININO,213.0,0.1047,0.1001
AGUDOS,31-40 ANOS,MASCULINO,314.0,0.1631,0.1328
AGUDOS,41-50 ANOS,FEMININO,115.0,0.0581,0.0622
AGUDOS,41-50 ANOS,MASCULINO,176.0,0.1066,0.1139
AGUDOS,51-60 ANOS,FEMININO,45.0,0.0379,0.0357
AGUDOS,51-60 ANOS,MASCULINO,76.0,0.0609,0.0605
AGUDOS,61-70 ANOS,FEMININO,24.0,0.0336,0.0288
AGUDOS,61-70 ANOS,MASCULINO,30.0,0.0316,0.0304
AGUDOS,71-80 ANOS,FEMININO,2.0,0.0066,0.0055
AGUDOS,71-80 ANOS,MASCULINO,6.0,0.0102,0.0161
AGUDOS,81-90 ANOS,FEMININO,1.0,0.0112,0.0067
AGUDOS,81-90 ANOS,MASCULINO,0.0,0.0,0.0014
AGUDOS,91-100 ANOS,FEMININO,0.0,0.0,0.0
AGUDOS,91-100 ANOS,MASCULINO,0.0,0.0,0.0
ALAMBARI,101-120 ANOS,MASCULINO,0.0,0.0,0.0
ALAMBARI,18-21 ANOS,FEMININO,36.0,0.7347,0.729
ALAMBARI,18-21 ANOS,MASCULINO,68.0,0.8718,0.8317
ALAMBARI,22-25 ANOS,FEMININO,41.0,0.5,0.4915
ALAMBARI,22-25 ANOS,MASCULINO,64.0,0.5517,0.5254
ALAMBARI,26-30 ANOS,FEMININO,30.0,0.229,0.2061
ALAMBARI,26-30 ANOS,MASCULINO,33.0,0.2463,0.2398
ALAMBARI,31-40 ANOS,FEMININO,25.0,0.1,0.0962
ALAMBARI,31-40 ANOS,MASCULINO,22.0,0.1048,0.1137
ALAMBARI,41-50 ANOS,FEMININO,17.0,0.072,0.0671
ALAMBARI,41-50 ANOS,MASCULINO,13.0,0.0699,0.075
ALAMBARI,51-60 ANOS,FEMININO,4.0,0.0396,0.0385
ALAMBARI,51-60 ANOS,MASCULINO,6.0,0.0435,0.0448
ALAMBARI,61-70 ANOS,FEMININO,2.0,0.0303,0.0257
ALAMBARI,61-70 ANOS,MASCULINO,1.0,0.009,0.0153
ALAMBARI,71-80 ANOS,FEMININO,0.0,0.0,0.002
ALAMBARI,71-80 ANOS,MASCULINO,3.0,0.0312,0.0218
ALAMBARI,81-90 ANOS,FEMININO,1.0,0.25,0.1345
ALAMBARI,81-90 ANOS,MASCULINO,0.0,0.0,0.055
ALAMBARI,91-100 ANOS,MASCULINO,0.0,0.0,0.0025
ALFREDO MARCONDES,18-21 ANOS,FEMININO,11.0,0.3667,0.4769
ALFREDO MARCONDES,18-21 ANOS,MASCULINO,35.0,0.6481,0.6614
ALFREDO MARCONDES,22-25 ANOS,FEMININO,27.0,0.4576,0.4489
ALFREDO MARCONDES,22-25 ANOS,MASCULINO,33.0,0.3474,0.4174
ALFREDO MARCONDES,26-30 ANOS,FEMININO,4.0,0.0404,0.1086
ALFREDO MARCONDES,26-30 ANOS,MASCULINO,11.0,0.0965,0.1325
ALFREDO MARCONDES,31-40 ANOS,FEMININO,7.0,0.034,0.0709
ALFREDO MARCONDES,31-40 ANOS,MASCULINO,13.0,0.0588,0.0987
ALFREDO MARCONDES,41-50 ANOS,FEMININO,1.0,0.0064,0.0374
ALFREDO MARCONDES,41-50 ANOS,MASCULINO,6.0,0.0335,0.048
ALFREDO MARCONDES,51-60 ANOS,FEMININO,6.0,0.0441,0.0429
ALFREDO MARCONDES,51-60 ANOS,MASCULINO,2.0,0.0165,0.0285
ALFREDO MARCONDES,61-70 ANOS,FEMININO,0.0,0.0,0.0111
ALFREDO MARCONDES,61-70 ANOS,MASCULINO,1.0,0.0073,0.0089
ALFREDO MARCONDES,71-80 ANOS,FEMININO,0.0,0.0,0.0
ALFREDO MARCONDES,71-80 ANOS,MASCULINO,0.0,0.0,0.0069
ALFREDO MARCONDES,81-90 ANOS,FEMININO,0.0,0.0,0.0104
ALFREDO MARCONDES,81-90 ANOS,MASCULINO,0.0,0.0,0.0025
ALFREDO MARCONDES,91-100 ANOS,FEMININO,0.0,0.0,0.0
ALFREDO MARCONDES,91-100 ANOS,MASCULINO,0.0,0.0,0.0
ALTAIR,101-120 ANOS,MASCULINO,0.0,0.0,0.0
ALTAIR,18-21 ANOS,FEMININO,20.0,0.9524,0.8275
ALTAIR,18-21 ANOS,MASCULINO,31.0,1.0,0.908
ALTAIR,22-25 ANOS,FEMININO,29.0,0.725,0.6932
